date,number
01-Sep-23,4057
01-Sep-23,0343
02-Sep-23,8960
02-Sep-23,9328
03-Sep-23,6343
03-Sep-23,1532
04-Sep-23,2234
04-Sep-23,1629
05-Sep-23,0734
05-Sep-23,3037
06-Sep-23,6534
06-Sep-23,7266
07-Sep-23,4119
07-Sep-23,7465
08-Sep-23,6562
08-Sep-23,9706
09-Sep-23,6581
09-Sep-23,0737
10-Sep-23,8484
10-Sep-23,8788
11-Sep-23,8817
11-Sep-23,0675
12-Sep-23,0059
12-Sep-23,3622
13-Sep-23,5000
13-Sep-23,5130
14-Sep-23,6445
14-Sep-23,9052
15-Sep-23,2362
15-Sep-23,3523
16-Sep-23,9351
16-Sep-23,0724
17-Sep-23,0455
17-Sep-23,5262
18-Sep-23,3356
18-Sep-23,1558
19-Sep-23,5156
19-Sep-23,0091
20-Sep-23,0781
20-Sep-23,5761
21-Sep-23,5662
21-Sep-23,7662
22-Sep-23,2622
22-Sep-23,8406
23-Sep-23,0992
23-Sep-23,5562
24-Sep-23,9062
24-Sep-23,8820
25-Sep-23,5732
25-Sep-23,4829
26-Sep-23,1133
26-Sep-23,7227
27-Sep-23,2603
27-Sep-23,4269
28-Sep-23,3237
28-Sep-23,1778
29-Sep-23,8858
29-Sep-23,9156
30-Sep-23,7875
30-Sep-23,0996
01-Oct-23,8642
01-Oct-23,2992
02-Oct-23,0244
02-Oct-23,7877
03-Oct-23,5014
03-Oct-23,0910
04-Oct-23,4296
04-Oct-23,9206
05-Oct-23,7521
05-Oct-23,3214
06-Oct-23,4388
06-Oct-23,8351
